grade,perc_GF,time,charge
M20,0,90,3450
M20,0,180,3165
M20,0,365,2912
M20,0,720,2810
M20,0.03,90,3100
M20,0.03,180,2512
M20,0.03,365,2478
M20,0.03,720,2462
M20,0.06,90,2972
M20,0.06,180,2413
M20,0.06,365,2172
M20,0.06,720,2163
M20,0.1,90,2843
M20,0.1,180,2212
M20,0.1,365,2115
M20,0.1,720,2085
M30,0,90,2950
M30,0,180,2462
M30,0,365,2182
M30,0,720,2083
M30,0.03,90,2400
M30,0.03,180,1855
M30,0.03,365,1755
M30,0.03,720,1743
M30,0.06,90,2370
M30,0.06,180,1843
M30,0.06,365,1632
M30,0.06,720,1589
M30,0.1,90,2375
M30,0.1,180,1772
M30,0.1,365,1682
M30,0.1,720,1642
M40,0,90,2240
M40,0,180,1852
M40,0,365,1653
M40,0,720,1548
M40,0.03,90,1850
M40,0.03,180,1243
M40,0.03,365,1148
M40,0.03,720,1142
M40,0.06,90,1845
M40,0.06,180,1385
M40,0.06,365,1175
M40,0.06,720,1176
M40,0.1,90,1840
M40,0.1,180,1231
M40,0.1,365,1167
M40,0.1,720,1109
M50,0,90,1950
M50,0,180,1643
M50,0,365,1432
M50,0,720,1365
M50,0.03,90,1700
M50,0.03,180,1200
M50,0.03,365,1100
M50,0.03,720,1003
M50,0.06,90,1675
M50,0.06,180,1193
M50,0.06,365,1002
M50,0.06,720,949
M50,0.1,90,1650
M50,0.1,180,1019
M50,0.1,365,987
M50,0.1,720,916
