Grade,Glass Fibre (%),Number of Days,Comp_Strength (N/mm2),Flex_strenght(N/mm2),Splitting Strength(N/mm2)
M20,0,7,24.48,2.34,2.42
M20,0,28,36.6,3.52,3.62
M20,0,56,39.25,3.96,4.05
M20,0,90,43.23,4.18,4.33
M20,0,180,44.12,4.29,4.45
M20,0,360,45.08,5.28,5.47
M20,0.3,7,28.36,2.73,2.8
M20,0.3,28,42.46,4.08,4.2
M20,0.3,56,45.92,4.59,4.74
M20,0.3,90,51.01,4.85,5.05
M20,0.3,180,51.74,5.02,5.25
M20,0.3,360,52.26,5.1,5.29
M20,0.6,7,28.35,2.73,5.85
M20,0.6,28,41.82,4.02,4.14
M20,0.6,56,43.91,4.39,4.54
M20,0.6,90,50.43,4.81,4.96
M20,0.6,180,51.13,4.95,5.19
M20,0.6,360,51.98,4.99,5.24
M20,1,7,26.42,2.57,2.63
M20,1,28,39.62,3.81,3.94
M20,1,56,42.99,4.3,4.45
M20,1,90,43.01,4.12,4.24
M20,1,180,46.24,4.49,4.71
M20,1,360,49.04,4.69,4.86
M30,0,7,27.72,2.79,2.88
M30,0,28,41.5,4.12,4.23
M30,0,56,46.05,4.57,4.68
M30,0,90,48.85,4.96,4.89
M30,0,180,49.72,4.98,5.12
M30,0,360,50.84,5.05,5.23
M30,0.3,7,32.14,3.18,3.3
M30,0.3,28,48.56,4.78,4.19
M30,0.3,56,53.42,5.39,5.38
M30,0.3,90,56.67,5.62,5.74
M30,0.3,180,58.17,5.39,6.12
M30,0.3,360,59.51,5.98,6.17
M30,0.6,7,31.36,3.07,3.15
M30,0.6,28,46.13,4.49,4.66
M30,0.6,56,51.21,5.2,5.22
M30,0.6,90,55.5,5.51,5.63
M30,0.6,180,56.28,5.72,5.83
M30,0.6,360,57.43,5.75,5.85
M30,1,7,30.15,2.9,3.08
M30,1,28,45.28,4.35,4.62
M30,1,56,49.28,4.73,5.1
M30,1,90,52.5,5.35,5.28
M30,1,180,54.82,5.65,5.52
M30,1,360,55.78,5.67,5.69
M40,0,7,33.3,2.92,3.33
M40,0,28,47.92,4.72,4.78
M40,0,56,52.24,5.28,5.35
M40,0,90,56.67,5.42,5.68
M40,0,180,58.05,5.91,5.94
M40,0,360,59.56,5.95,5.98
M40,0.3,7,38.29,3.66,3.84
M40,0.3,28,57.5,5.22,5.59
M40,0.3,56,60.6,6.18,6.15
M40,0.3,90,66.87,6.4,6.55
M40,0.3,180,69.66,6.95,6.98
M40,0.3,360,70.89,6.98,7.03
M40,0.6,7,37.65,3.64,3.54
M40,0.6,28,55.62,5.38,5.24
M40,0.6,56,58.47,5.94,5.89
M40,0.6,90,64.32,6.11,6.28
M40,0.6,180,67.43,6.69,6.76
M40,0.6,360,69.91,6.75,6.81
M40,1,7,36.64,3.51,3.63
M40,1,28,53.26,5.1,5.2
M40,1,56,56.43,5.4,5.6
M40,1,90,63.72,5.8,5.7
M40,1,180,65.37,6.1,6.4
M40,1,360,66.45,6.3,6.5
M50,0,7,38.25,3.73,3.83
M50,0,28,54.18,5.42,5.56
M50,0,56,59.96,5.8,5.89
M50,0,90,64.37,6.43,6.39
M50,0,180,66.09,6.57,6.55
M50,0,360,67.45,6.74,6.86
M50,0.3,7,41.56,4.28,4.5
M50,0.3,28,62.31,6.23,6.34
M50,0.3,56,69.55,6.79,6.66
M50,0.3,90,77.24,7.52,7.54
M50,0.3,180,78.65,7.56,7.65
M50,0.3,360,79.48,7.81,7.82
M50,0.6,7,40.73,3.99,4.2
M50,0.6,28,59.21,5.89,6.1
M50,0.6,56,63.28,6.12,6.06
M50,0.6,90,68.64,6.69,6.73
M50,0.6,180,73.52,7.1,7.16
M50,0.6,360,74.9,7.33,7.58
M50,1,7,39.22,3.97,4.04
M50,1,28,57.94,5.81,5.88
M50,1,56,61.66,6.12,5.79
M50,1,90,66.28,6.5,6.41
M50,1,180,72.23,6.87,6.41
M50,1,360,73.41,7.17,7.3
