grade,temp,time,strength
M20,At Room Temp.,0h,36.6
M20,At Room Temp.,4h,
M20,At Room Temp.,8h,
M20,At Room Temp.,12h,
M20,200C,0h,
M20,200C,4h,31.11
M20,200C,8h,29.28
M20,200C,12h,28.53
M20,400C,0h,
M20,400C,4h,30.01
M20,400C,8h,27.08
M20,400C,12h,26.9
M20,600C,0h,
M20,600C,4h,26.35
M20,600C,8h,24.89
M20,600C,12h,23.42
M20/GF,At Room Temp.,0h,42.46
M20/GF,At Room Temp.,4h,
M20/GF,At Room Temp.,8h,
M20/GF,At Room Temp.,12h,
M20/GF,200C,0h,
M20/GF,200C,4h,35.02
M20/GF,200C,8h,34.08
M20/GF,200C,12h,33.13
M20/GF,400C,0h,
M20/GF,400C,4h,34.6
M20/GF,400C,8h,33.8
M20/GF,400C,12h,31.9
M20/GF,600C,0h,
M20/GF,600C,4h,32.9
M20/GF,600C,8h,31.87
M20/GF,600C,12h,28.62
M30,At Room Temp.,0h,41.5
M30,At Room Temp.,4h,
M30,At Room Temp.,8h,
M30,At Room Temp.,12h,
M30,200C,0h,
M30,200C,4h,35.28
M30,200C,8h,33.2
M30,200C,12h,32.37
M30,400C,0h,
M30,400C,4h,34.03
M30,400C,8h,33
M30,400C,12h,29.87
M30,600C,0h,
M30,600C,4h,32.5
M30,600C,8h,30.89
M30,600C,12h,28.98
M30/GF,At Room Temp.,0h,48.56
M30/GF,At Room Temp.,4h,
M30/GF,At Room Temp.,8h,
M30/GF,At Room Temp.,12h,
M30/GF,200C,0h,
M30/GF,200C,4h,40.54
M30/GF,200C,8h,37.97
M30/GF,200C,12h,36.75
M30/GF,400C,0h,
M30/GF,400C,4h,38.72
M30/GF,400C,8h,37.62
M30/GF,400C,12h,34.86
M30/GF,600C,0h,
M30/GF,600C,4h,37.25
M30/GF,600C,8h,35.28
M30/GF,600C,12h,33.9
M40,At Room Temp.,0h,47.92
M40,At Room Temp.,4h,
M40,At Room Temp.,8h,
M40,At Room Temp.,12h,
M40,200C,0h,
M40,200C,4h,40.73
M40,200C,8h,38.34
M40,200C,12h,37.38
M40,400C,0h,
M40,400C,4h,39.29
M40,400C,8h,35.46
M40,400C,12h,32.56
M40,600C,0h,
M40,600C,4h,34.5
M40,600C,8h,32.59
M40,600C,12h,30.67
M40/GF,At Room Temp.,0h,57.5
M40/GF,At Room Temp.,4h,
M40/GF,At Room Temp.,8h,
M40/GF,At Room Temp.,12h,
M40/GF,200C,0h,
M40/GF,200C,4h,46.88
M40/GF,200C,8h,45.47
M40/GF,200C,12h,43.92
M40/GF,400C,0h,
M40/GF,400C,4h,45
M40/GF,400C,8h,43.23
M40/GF,400C,12h,42.98
M40/GF,600C,0h,
M40/GF,600C,4h,43.41
M40/GF,600C,8h,41.79
M40/GF,600C,12h,37.42
M50,At Room Temp.,0h,54.18
M50,At Room Temp.,4h,
M50,At Room Temp.,8h,
M50,At Room Temp.,12h,
M50,200C,0h,
M50,200C,4h,46.05
M50,200C,8h,43.34
M50,200C,12h,42.26
M50,400C,0h,
M50,400C,4h,44.43
M50,400C,8h,40.09
M50,400C,12h,38.7
M50,600C,0h,
M50,600C,4h,39.01
M50,600C,8h,36.84
M50,600C,12h,35.91
M50/GF,At Room Temp.,0h,62.31
M50/GF,At Room Temp.,4h,
M50/GF,At Room Temp.,8h,
M50/GF,At Room Temp.,12h,
M50/GF,200C,0h,
M50/GF,200C,4h,53.98
M50/GF,200C,8h,49.76
M50/GF,200C,12h,48.78
M50/GF,400C,0h,
M50/GF,400C,4h,51.09
M50/GF,400C,8h,46.11
M50/GF,400C,12h,45.13
M50/GF,600C,0h,
M50/GF,600C,4h,45.45
M50/GF,600C,8h,42.23
M50/GF,600C,12h,41.9
